startyear;endyear;normalization;learningRate;lambdaValue;PCE;R2;hiddenSize;num_layers;dense
2009;2019;0mean;base;0.0001;2.1616878509521484;0.06508472668186609;8;4;[2048, 2048]
2009;2019;0mean;base;0.0001;1.9064866304397583;0.05945329854408554;8;8;[2048, 2048]
2009;2019;0mean;base;0.0001;1.6884952783584595;0.11263806420648166;8;4;[256, 512, 128]
2009;2019;0mean;base;0.0001;2.2843210697174072;0.014776517568542903;16;4;[256, 512, 128]
2009;2019;0mean;base;0.0001;1.6851649284362793;0.09438112937441863;8;8;[256, 512, 128]
2009;2019;0mean;base;0.0001;2.3667867183685303;0.006417402503267575;16;8;[256, 512, 128]
2009;2019;0mean;base;0.003;1.7959233522415161;0.03364868901105091;8;8;[2048, 2048]
2009;2019;0mean;base;0.003;1.770290493965149;0.13690476895998124;8;4;[256, 512, 128]
2009;2019;0mean;base;0.003;2.1114518642425537;0.022498284697813713;16;4;[256, 512, 128]
2009;2019;0mean;base;0.003;1.6070795059204102;0.09841837667560742;8;8;[256, 512, 128]
2009;2019;0mean;base;0.003;2.1816396713256836;0.009854739664051466;16;8;[256, 512, 128]
2009;2019;0mean;base;0.0;5.196075916290283;0.03718581217099697;8;4;[2048, 2048]
2009;2019;0mean;base;0.0;4.320714473724365;0.08561826081232714;8;4;[256, 512, 128]
2009;2019;0mean;base;0.0;4.812312126159668;0.012022860587811093;16;4;[256, 512, 128]
2009;2019;0mean;base;0.0;2.717583417892456;0.09723494794021786;8;8;[256, 512, 128]
2009;2019;0mean;base;0.0;4.352689266204834;0.0290163463087089;16;8;[256, 512, 128]
2009;2019;0mean;base;0.3;15.87545394897461;0.031603538246640674;8;4;[2048, 2048]
2009;2019;0mean;base;0.3;6.648094177246094;0.06121591821357656;8;8;[2048, 2048]
2009;2019;0mean;base;0.3;5.2977728843688965;0.12968962744193765;8;4;[256, 512, 128]
2009;2019;0mean;base;0.3;8.900321006774902;0.009115701048510894;16;4;[256, 512, 128]
2009;2019;0mean;base;0.3;4.118435859680176;0.09236580261319642;8;8;[256, 512, 128]
2009;2019;0mean;base;0.3;5.653833866119385;0.06564084228622773;16;8;[256, 512, 128]
2009;2019;100-1000;base;0.0001;0.07584647834300995;0.05227205089870842;8;4;[2048, 2048]
2009;2019;100-1000;base;0.0001;0.07311393320560455;0.0604016419807973;16;4;[2048, 2048]
2009;2019;100-1000;base;0.0001;0.0835796371102333;0.017621416158291412;8;8;[2048, 2048]
2009;2019;100-1000;base;0.0001;0.0745498314499855;0.07130130215610343;16;8;[2048, 2048]
2009;2019;100-1000;base;0.003;0.07736014574766159;0.06995029087351907;8;4;[2048, 2048]
2009;2019;100-1000;base;0.003;0.07617407292127609;0.05837452895727254;16;4;[2048, 2048]
2009;2019;100-1000;base;0.003;0.07875840365886688;0.06003627599382822;8;8;[2048, 2048]
2009;2019;100-1000;base;0.003;0.07815241068601608;0.06688579902184684;16;8;[2048, 2048]
2009;2019;100-1000;base;0.0;0.07501040399074554;0.06578405236039724;8;4;[2048, 2048]
2009;2019;100-1000;base;0.0;0.0725187361240387;0.06825144851731677;16;4;[2048, 2048]
2009;2019;100-1000;base;0.0;0.07413509488105774;0.05727950096095308;8;8;[2048, 2048]
2009;2019;100-1000;base;0.0;0.0720776692032814;0.0684739707936301;16;8;[2048, 2048]
2009;2019;100-1000;base;0.3;0.0731319785118103;0.07488911484249343;8;4;[2048, 2048]
2009;2019;100-1000;base;0.3;0.07175595313310623;0.07779728776959542;16;4;[2048, 2048]
2009;2019;100-1000;base;0.3;0.07449701428413391;0.05904266169676159;8;8;[2048, 2048]
2009;2019;100-1000;base;0.3;0.07216499745845795;0.0799252751996814;16;8;[2048, 2048]
2009;2019;max100;base;0.0001;1.668656826019287;0.10548732489623021;8;4;[2048, 2048]
2009;2019;max100;base;0.0001;2.009654998779297;0.028815731795382698;16;4;[2048, 2048]
2009;2019;max100;base;0.0001;1.6651285886764526;0.04058250266826516;8;8;[2048, 2048]
2009;2019;max100;base;0.0001;1.4102051258087158;0.13182966523671824;8;4;[256, 512, 128]
2009;2019;max100;base;0.0001;1.5293320417404175;0.11676190425448851;16;4;[256, 512, 128]
2009;2019;max100;base;0.0001;1.3807013034820557;0.06632095784032457;8;8;[256, 512, 128]
2009;2019;max100;base;0.0001;1.58279550075531;0.045484735512186396;16;8;[256, 512, 128]
2009;2019;max100;base;0.003;2.277778387069702;0.091256092719171;8;4;[2048, 2048]
2009;2019;max100;base;0.003;1.7673364877700806;0.060219858243454716;8;8;[2048, 2048]
2009;2019;max100;base;0.003;1.4195752143859863;0.13280556550114134;8;4;[256, 512, 128]
2009;2019;max100;base;0.003;1.5747582912445068;0.05003958784814625;16;4;[256, 512, 128]
2009;2019;max100;base;0.003;1.652801752090454;0.049934105204235406;8;8;[256, 512, 128]
2009;2019;max100;base;0.003;1.6813181638717651;0.06812270425077321;16;8;[256, 512, 128]
2009;2019;max100;base;0.0;1.4940135478973389;0.10328134337979973;8;4;[2048, 2048]
2009;2019;max100;base;0.0;1.992034673690796;0.033260358366203696;16;4;[2048, 2048]
2009;2019;max100;base;0.0;1.4772493839263916;0.06636210586012657;8;8;[2048, 2048]
2009;2019;max100;base;0.0;1.777214765548706;0.03963057949284171;16;8;[2048, 2048]
2009;2019;max100;base;0.0;1.4329688549041748;0.09409140597665112;8;4;[256, 512, 128]
2009;2019;max100;base;0.0;1.657096028327942;0.08100445488143329;16;4;[256, 512, 128]
2009;2019;max100;base;0.0;1.477200984954834;0.07386836621172309;8;8;[256, 512, 128]
2009;2019;max100;base;0.0;1.678115725517273;0.04660542039941969;16;8;[256, 512, 128]
2009;2019;max100;base;0.3;3547.47802734375;0.05191182104701436;8;4;[2048, 2048]
2009;2019;max100;base;0.3;4791.65380859375;0.012852909211423097;8;8;[2048, 2048]
2009;2019;max100;base;0.3;455.7749938964844;0.11531908560601488;8;4;[256, 512, 128]
2009;2019;max100;base;0.3;7523.6396484375;0.07158655711090034;16;4;[256, 512, 128]
2009;2019;max100;base;0.3;86.85694885253906;0.06069557179334232;8;8;[256, 512, 128]
2009;2019;max100;base;0.3;433.4245910644531;0.05100489481124413;16;8;[256, 512, 128]
2009;2019;None;base;0.0001;1.118927001953125;0.054148499249191684;8;4;[2048, 2048]
2009;2019;None;base;0.0001;1.137030839920044;0.09261013169681147;16;4;[2048, 2048]
2009;2019;None;base;0.0001;1.111461877822876;0.08185135323751631;16;8;[2048, 2048]
2009;2019;None;base;0.0001;1.0788657665252686;0.07209227813962296;8;4;[256, 512, 128]
2009;2019;None;base;0.0001;1.123937964439392;0.09248087537099842;16;4;[256, 512, 128]
2009;2019;None;base;0.0001;1.1138451099395752;0.03239048593833931;8;8;[256, 512, 128]
2009;2019;None;base;0.0001;1.1241710186004639;0.05507816078695297;16;8;[256, 512, 128]
2009;2019;None;base;0.003;1.215658187866211;0.05424643749456077;8;4;[2048, 2048]
2009;2019;None;base;0.003;1.286548137664795;0.08291377411313755;16;4;[2048, 2048]
2009;2019;None;base;0.003;1.285835862159729;0.07866191400042667;16;8;[2048, 2048]
2009;2019;None;base;0.003;1.1414179801940918;0.051166880770077944;8;4;[256, 512, 128]
2009;2019;None;base;0.003;1.1446356773376465;0.07756525693606604;16;4;[256, 512, 128]
2009;2019;None;base;0.003;1.195691704750061;0.00814570988176027;8;8;[256, 512, 128]
2009;2019;None;base;0.003;1.1476861238479614;0.0829330776240351;16;8;[256, 512, 128]
2009;2019;None;base;0.0;879.4708862304688;0.09352518806301602;8;4;[2048, 2048]
2009;2019;None;base;0.0;2170.205322265625;0.09866358113467406;16;4;[2048, 2048]
2009;2019;None;base;0.0;1840.6207275390625;0.04702871354451077;8;8;[2048, 2048]
2009;2019;None;base;0.0;1962.7410888671875;0.07857262808926802;16;8;[2048, 2048]
2009;2019;None;base;0.0;2002.648681640625;0.06741482222309152;8;4;[256, 512, 128]
2009;2019;None;base;0.0;4790.5947265625;0.09376618236536094;16;4;[256, 512, 128]
2009;2019;None;base;0.0;2290.0751953125;0.0020522480891222356;8;8;[256, 512, 128]
2009;2019;None;base;0.0;3562.662109375;0.09708488851439208;16;8;[256, 512, 128]
2009;2019;None;base;0.3;1.0598325729370117;0.038556045928408715;8;4;[2048, 2048]
2009;2019;None;base;0.3;0.9956114292144775;0.06911854605017377;16;4;[2048, 2048]
2009;2019;None;base;0.3;1.0346940755844116;0.020049231842175996;8;8;[2048, 2048]
2009;2019;None;base;0.3;1.028287410736084;0.06521909597357363;16;8;[2048, 2048]
2009;2019;None;base;0.3;1.0185829401016235;0.02789035461583551;8;4;[256, 512, 128]
2009;2019;None;base;0.3;0.9535307288169861;0.08640356543133765;16;4;[256, 512, 128]
2009;2019;None;base;0.3;1.1048921346664429;0.03130821439268418;8;8;[256, 512, 128]
2009;2019;None;base;0.3;0.9667080044746399;0.08242989922484921;16;8;[256, 512, 128]
2009;2019;100-1000;high;0.0001;0.07439517974853516;0.04624879958541969;8;4;[2048, 2048]
2009;2019;100-1000;high;0.0001;0.07021204382181168;0.13247195085970864;16;4;[2048, 2048]
2009;2019;100-1000;high;0.0001;0.08866844326257706;0.046639151641706615;8;8;[2048, 2048]
2009;2019;100-1000;high;0.0001;0.07739502936601639;0.03581394352054735;16;8;[2048, 2048]
2009;2019;100-1000;high;0.0001;0.08859764039516449;0.036689002929572105;8;4;[256, 512, 128]
2009;2019;100-1000;high;0.0001;0.07555171847343445;0.06823773030174779;16;4;[256, 512, 128]
2009;2019;100-1000;high;0.0001;0.07817163318395615;0.06552548290704753;8;8;[256, 512, 128]
2009;2019;100-1000;high;0.0001;0.07649094611406326;0.06886333083324518;16;8;[256, 512, 128]
2009;2019;100-1000;high;0.003;0.0804278627038002;0.07248130429821364;8;4;[2048, 2048]
2009;2019;100-1000;high;0.003;0.07809234410524368;0.04867072933943307;16;4;[2048, 2048]
2009;2019;100-1000;high;0.003;0.08080070465803146;0.05055952749271438;8;8;[2048, 2048]
2009;2019;100-1000;high;0.003;0.08244446665048599;0.0036010554573246076;16;8;[2048, 2048]
2009;2019;100-1000;high;0.003;0.07910125702619553;0.0673573517702127;8;4;[256, 512, 128]
2009;2019;100-1000;high;0.003;0.08026818186044693;0.0722463742507753;8;8;[256, 512, 128]
2009;2019;100-1000;high;0.003;0.08503492921590805;0.053342314570595906;16;8;[256, 512, 128]
2009;2019;100-1000;high;0.0;0.07600628584623337;0.06923192047655836;8;4;[2048, 2048]
2009;2019;100-1000;high;0.0;0.07268808782100677;0.05844902172513023;16;4;[2048, 2048]
2009;2019;100-1000;high;0.0;0.07773291319608688;0.035072457270484296;8;8;[2048, 2048]
2009;2019;100-1000;high;0.0;0.07722964137792587;0.06762641945637402;8;4;[256, 512, 128]
2009;2019;100-1000;high;0.0;0.07615255564451218;0.06868441958217102;16;4;[256, 512, 128]
2009;2019;100-1000;high;0.0;0.07658701390028;0.06688112164711475;8;8;[256, 512, 128]
2009;2019;100-1000;high;0.0;0.07610573619604111;0.06003025258806058;16;8;[256, 512, 128]
2009;2019;100-1000;high;0.3;0.07458033412694931;0.07872411585506114;8;4;[2048, 2048]
2009;2019;100-1000;high;0.3;0.07444166392087936;0.09478033206967729;16;4;[2048, 2048]
2009;2019;100-1000;high;0.3;0.07460706681013107;0.061662800346795825;8;8;[2048, 2048]
2009;2019;100-1000;high;0.3;0.0760296881198883;0.05327309457848667;16;8;[2048, 2048]
2009;2019;100-1000;high;0.3;0.07397759705781937;0.03255826890196246;8;4;[256, 512, 128]
2009;2019;100-1000;high;0.3;0.07291024178266525;0.015073091623484034;16;4;[256, 512, 128]
2009;2019;100-1000;high;0.3;0.07611546665430069;0.04987444361929821;8;8;[256, 512, 128]
2009;2019;100-1000;high;0.3;0.07415377348661423;0.07091010181027273;16;8;[256, 512, 128]
2009;2019;None;high;0.0001;758.6641845703125;0.04698314200899693;8;4;[2048, 2048]
2009;2019;None;high;0.0001;5429.5419921875;0.038501952044801065;16;4;[2048, 2048]
2009;2019;None;high;0.0001;9025.3828125;0.0239224645192098;8;8;[2048, 2048]
2009;2019;None;high;0.0001;8502.1337890625;0.024969511324775363;16;8;[2048, 2048]
2009;2019;None;high;0.0001;9775.1123046875;0.050519156710377384;8;4;[256, 512, 128]
2009;2019;None;high;0.0001;8444.501953125;0.09153728545484048;16;4;[256, 512, 128]
2009;2019;None;high;0.0001;3310.9501953125;0.04481234845042947;8;8;[256, 512, 128]
2009;2019;None;high;0.0001;11897.890625;0.06767164422795043;16;8;[256, 512, 128]
2009;2019;None;high;0.003;inf;0.06241966969546268;8;4;[2048, 2048]
2009;2019;None;high;0.003;inf;0.016279624387102506;16;4;[2048, 2048]
2009;2019;None;high;0.003;inf;0.004176109346940272;8;8;[2048, 2048]
2009;2019;None;high;0.003;inf;0.09553720198059161;8;4;[256, 512, 128]
2009;2019;None;high;0.003;inf;0.0827948445444016;16;4;[256, 512, 128]
2009;2019;None;high;0.003;inf;0.015570707093984072;8;8;[256, 512, 128]
2009;2019;None;high;0.003;inf;0.04770729901952625;16;8;[256, 512, 128]
2009;2019;None;high;0.0;1.2997709512710571;0.011618582793670408;8;4;[2048, 2048]
2009;2019;None;high;0.0;2.385976791381836;0.01245992297812252;8;8;[2048, 2048]
2009;2019;None;high;0.0;1.7425057888031006;0.08845935144200368;8;4;[256, 512, 128]
2009;2019;None;high;0.0;1.912182092666626;0.09600267981651368;16;4;[256, 512, 128]
2009;2019;None;high;0.0;2.142739772796631;0.09732294224767503;8;8;[256, 512, 128]
2009;2019;None;high;0.0;1.895745873451233;0.08122564785237822;16;8;[256, 512, 128]
2009;2019;None;high;0.3;inf;0.05751267492828673;16;4;[2048, 2048]
2009;2019;None;high;0.3;inf;0.026484665438061637;8;8;[2048, 2048]
2009;2019;None;high;0.3;inf;0.024548737012302466;16;8;[2048, 2048]
2009;2019;None;high;0.3;inf;0.08118336669510522;8;4;[256, 512, 128]
2009;2019;None;high;0.3;inf;0.06497567042799308;16;4;[256, 512, 128]
2009;2019;None;high;0.3;inf;0.08373001752778497;8;8;[256, 512, 128]
2009;2019;None;high;0.3;inf;0.052333495673901144;16;8;[256, 512, 128]
2009;2019;0mean;low;0.0001;1.3924006223678589;0.12581883413164388;8;4;[2048, 2048]
2009;2019;0mean;low;0.0001;1.519013524055481;0.14467171900176867;16;4;[2048, 2048]
2009;2019;0mean;low;0.0001;1.4629325866699219;0.0534970384314136;8;8;[2048, 2048]
2009;2019;0mean;low;0.0001;1.3666654825210571;0.07608570056130508;16;8;[2048, 2048]
2009;2019;0mean;low;0.0001;1.617989420890808;0.0964828776007165;8;4;[256, 512, 128]
2009;2019;0mean;low;0.0001;1.4266345500946045;0.1235587300650512;16;4;[256, 512, 128]
2009;2019;0mean;low;0.0001;1.0485823154449463;0.030572795027330967;8;8;[256, 512, 128]
2009;2019;0mean;low;0.0001;1.3479821681976318;0.06086783038455623;16;8;[256, 512, 128]
2009;2019;0mean;low;0.003;4.2699875831604;0.13798223428530443;8;4;[2048, 2048]
2009;2019;0mean;low;0.003;4.127086639404297;0.14638801221521916;16;4;[2048, 2048]
2009;2019;0mean;low;0.003;2.356584310531616;0.058038538191197864;8;8;[2048, 2048]
2009;2019;0mean;low;0.003;1.4298971891403198;0.0804431205182196;16;8;[2048, 2048]
2009;2019;0mean;low;0.003;1.2839024066925049;0.07890021675811132;8;4;[256, 512, 128]
2009;2019;0mean;low;0.003;2.7622556686401367;0.1237865598615161;16;4;[256, 512, 128]
2009;2019;0mean;low;0.003;3.6685237884521484;0.02513861995667412;8;8;[256, 512, 128]
2009;2019;0mean;low;0.003;1.4701356887817383;0.072841953217142;16;8;[256, 512, 128]
2009;2019;0mean;low;0.0;2.147695302963257;0.11301962319029042;8;4;[2048, 2048]
2009;2019;0mean;low;0.0;2.126784324645996;0.14287317888230094;16;4;[2048, 2048]
2009;2019;0mean;low;0.0;1.6637529134750366;0.031641846919833454;8;8;[2048, 2048]
2009;2019;0mean;low;0.0;1.3694312572479248;0.054954363776947936;16;8;[2048, 2048]
2009;2019;0mean;low;0.0;2.027381420135498;0.0678217438844393;8;4;[256, 512, 128]
2009;2019;0mean;low;0.0;2.039212465286255;0.10667240182480027;16;4;[256, 512, 128]
2009;2019;0mean;low;0.0;1.100353717803955;0.008667510475298776;8;8;[256, 512, 128]
2009;2019;0mean;low;0.0;2.128359079360962;0.061661683871197026;16;8;[256, 512, 128]
2009;2019;0mean;low;0.3;2.273925542831421;0.14995829192393334;8;4;[2048, 2048]
2009;2019;0mean;low;0.3;2.515424966812134;0.17337346586685543;16;4;[2048, 2048]
2009;2019;0mean;low;0.3;1.702479362487793;0.06579202904138964;8;8;[2048, 2048]
2009;2019;0mean;low;0.3;3.241878032684326;0.09598663245495476;16;8;[2048, 2048]
2009;2019;0mean;low;0.3;1.618206262588501;0.09055032335932084;8;4;[256, 512, 128]
2009;2019;0mean;low;0.3;3.4190385341644287;0.15580907709493;16;4;[256, 512, 128]
2009;2019;0mean;low;0.3;1.7719542980194092;0.016310927580376815;8;8;[256, 512, 128]
2009;2019;0mean;low;0.3;2.298781394958496;0.07794856167278537;16;8;[256, 512, 128]
2009;2019;max100;low;0.0001;1.3327288627624512;0.055449656548658514;16;4;[2048, 2048]
2009;2019;max100;low;0.0001;1.1204181909561157;0.02381615808723515;16;8;[2048, 2048]
2009;2019;max100;low;0.0001;1.1370868682861328;0.003107033887271251;16;4;[256, 512, 128]
2009;2019;max100;low;0.003;0.9590109586715698;0.005603463268995951;8;4;[2048, 2048]
2009;2019;max100;low;0.003;1.2693562507629395;0.054548709677291585;16;4;[2048, 2048]
2009;2019;max100;low;0.003;0.947454035282135;0.024822531615111082;16;8;[2048, 2048]
2009;2019;max100;low;0.003;0.9599198698997498;0.018656231430750615;16;4;[256, 512, 128]
2009;2019;max100;low;0.003;0.9583845734596252;0.011506345055391283;16;8;[256, 512, 128]
2009;2019;max100;low;0.0;164.80450439453125;0.004309674293292278;8;4;[2048, 2048]
2009;2019;max100;low;0.0;195.45172119140625;0.04095701088030555;16;4;[2048, 2048]
2009;2019;max100;low;0.0;52.24037551879883;0.022729562876415154;16;8;[2048, 2048]
2009;2019;max100;low;0.0;263.4510192871094;0.009637306584451553;16;4;[256, 512, 128]
2009;2019;max100;low;0.0;178.90402221679688;0.007387066490137387;16;8;[256, 512, 128]
2009;2019;max100;low;0.3;inf;0.003812806232558509;8;4;[2048, 2048]
2009;2019;max100;low;0.3;inf;0.04201826790494584;16;4;[2048, 2048]
2009;2019;max100;low;0.3;inf;0.020266932984142554;16;8;[2048, 2048]
2009;2019;max100;low;0.3;inf;0.015234112582831928;16;4;[256, 512, 128]
2009;2019;max100;low;0.3;inf;0.0006727031869391381;16;8;[256, 512, 128]
2009;2019;None;low;0.0001;1.11525297164917;0.039563283226094585;16;4;[2048, 2048]
2009;2019;None;low;0.003;1.0517994165420532;0.0035663410600979737;16;4;[2048, 2048]
2009;2019;None;low;0.0;1.095136284828186;0.0034606625722336;16;4;[2048, 2048]
2009;2019;None;low;0.0;1.0988813638687134;0.012868830853161019;16;8;[2048, 2048]
